,timestamp,close,volume,close_vs_mm20,trend_close_mm20,trend_mm20,mm20_values,mm50_values,close_crossed_mm20
0,2020-10-02T00:00:00Z,345.9226,1021680628.4902306,,,,,,
1,2020-10-03T00:00:00Z,346.1245,407330880.0343003,,,,,,
2,2020-10-04T00:00:00Z,352.8443,446690787.764025,,,,,,
3,2020-10-05T00:00:00Z,354.0424,476061254.5677869,,,,,,
4,2020-10-06T00:00:00Z,340.9463,822629530.927238,,,,,,
5,2020-10-07T00:00:00Z,341.9491,693709881.9303916,,,,,,
6,2020-10-08T00:00:00Z,351.3434,750617412.4571157,,,,,,
7,2020-10-09T00:00:00Z,365.5359,842751872.1174481,,,,,,
8,2020-10-10T00:00:00Z,370.9178,807887652.3883184,,,,,,
9,2020-10-11T00:00:00Z,374.2861,588340057.9930826,,,,,,
10,2020-10-12T00:00:00Z,387.0457,1199336802.1388211,,,,,,
11,2020-10-13T00:00:00Z,381.3322,886325679.3964489,,,,,,
12,2020-10-14T00:00:00Z,379.1394,834070007.5279739,,,,,,
13,2020-10-15T00:00:00Z,377.9603,876327294.0267336,,,,,,
14,2020-10-16T00:00:00Z,365.7665,1008240258.366148,,,,,,
15,2020-10-17T00:00:00Z,368.6475,418205468.7549005,,,,,,
16,2020-10-18T00:00:00Z,378.5907,451835285.3085295,,,,,,
17,2020-10-19T00:00:00Z,379.5563,692819823.3392189,,,,,,
18,2020-10-20T00:00:00Z,368.9274,940582999.4745892,,,,,,
19,2020-10-21T00:00:00Z,391.2469,1766407978.3171132,,,,,,
20,2020-10-22T00:00:00Z,414.3712,1593215563.3247778,48.26490000000001,UP,,366.1063,,
21,2020-10-23T00:00:00Z,409.4879,975491601.087717,39.95920000000001,UP,UP,369.5287,,NO
22,2020-10-24T00:00:00Z,412.5074,584668678.5645741,39.81049999999999,UP,UP,372.6969,,NO
23,2020-10-25T00:00:00Z,406.1573,601121215.593284,30.477300000000014,UP,UP,375.68,,NO
24,2020-10-26T00:00:00Z,393.0102,1181862940.9623685,14.724400000000003,UP,UP,378.2858,,NO
25,2020-10-27T00:00:00Z,403.5322,986789613.3352726,22.64319999999998,UP,UP,380.889,,NO
26,2020-10-28T00:00:00Z,388.6417,1183001802.1141317,4.673600000000022,UP,UP,383.9681,,NO
27,2020-10-29T00:00:00Z,387.2906,786426523.2151594,1.4575999999999567,UP,UP,385.833,,NO
28,2020-10-30T00:00:00Z,382.7373,967381960.919665,-4.183499999999981,DOWN,UP,386.9208,,YES
29,2020-10-31T00:00:00Z,386.5426,682700083.4442769,-0.9691000000000258,DOWN,UP,387.5117,,NO
30,2020-11-01T00:00:00Z,396.3741,551662176.044244,8.249500000000012,UP,UP,388.1246,,YES
31,2020-11-02T00:00:00Z,383.0868,1010394557.3567284,-5.504200000000026,DOWN,UP,388.591,,YES
32,2020-11-03T00:00:00Z,387.9888,891098691.2084587,-0.689899999999966,DOWN,UP,388.6787,,NO
33,2020-11-04T00:00:00Z,402.6131,1362547512.4232025,13.491899999999987,UP,UP,389.1212,,YES
34,2020-11-05T00:00:00Z,416.8526,1920064297.556429,26.498800000000017,UP,UP,390.3538,,NO
35,2020-11-06T00:00:00Z,456.0227,2416411087.0769567,63.114599999999996,UP,UP,392.9081,,NO
36,2020-11-07T00:00:00Z,435.937,2217353750.3453383,38.6601,UP,UP,397.2769,,NO
37,2020-11-08T00:00:00Z,454.7613,1173221946.3142684,54.61709999999999,UP,UP,400.1442,,NO
38,2020-11-09T00:00:00Z,444.5616,1516934745.1130202,40.657100000000014,UP,UP,403.9045,,NO
39,2020-11-10T00:00:00Z,450.8161,1177027439.177954,43.12990000000002,UP,UP,407.6862,,NO
40,2020-11-11T00:00:00Z,463.6732,1692231093.8366718,53.0086,UP,UP,410.6646,,NO
41,2020-11-12T00:00:00Z,462.7583,1502090110.0739942,49.628600000000006,UP,UP,413.1297,,NO
42,2020-11-13T00:00:00Z,476.5195,1431468552.7174964,60.72629999999998,UP,UP,415.7932,,NO
43,2020-11-14T00:00:00Z,460.8382,1046161191.411556,41.844299999999976,UP,UP,418.9939,,NO
44,2020-11-15T00:00:00Z,448.2445,910306482.5628924,26.51660000000004,UP,UP,421.7279,,NO
45,2020-11-16T00:00:00Z,460.6342,1123655556.980349,36.144600000000025,UP,UP,424.4896,,NO
46,2020-11-17T00:00:00Z,482.439,1372047100.1290731,55.09430000000003,UP,UP,427.3447,,NO
47,2020-11-18T00:00:00Z,478.4462,2206650813.8564167,46.411599999999964,UP,UP,432.0346,,NO
48,2020-11-19T00:00:00Z,471.6074,1183417989.3483877,35.014999999999986,UP,UP,436.5924,,NO
49,2020-11-20T00:00:00Z,510.3847,2481086169.492078,69.34879999999998,UP,UP,441.0359,,NO
50,2020-11-21T00:00:00Z,551.8693,2760930734.1301737,104.64129999999994,UP,UP,447.228,405.0193,NO
51,2020-11-22T00:00:00Z,559.9232,3485584501.816387,104.92049999999995,UP,UP,455.0027,409.1382,NO
52,2020-11-23T00:00:00Z,608.7241,4089867268.625419,144.87960000000004,UP,UP,463.8445,413.4142,NO
53,2020-11-24T00:00:00Z,604.9101,3469739831.347723,130.02880000000005,UP,UP,474.8813,418.5318,NO
54,2020-11-25T00:00:00Z,569.3985,2416060837.71529,84.40230000000003,UP,UP,484.9962,423.5491,NO
55,2020-11-26T00:00:00Z,520.8404,5043704313.699353,28.216900000000066,UP,UP,492.6235,428.1182,NO
56,2020-11-27T00:00:00Z,519.2355,1887532540.180585,23.371199999999988,UP,UP,495.8643,431.696,NO
57,2020-11-28T00:00:00Z,538.0591,1584082228.076531,38.029799999999966,UP,UP,500.0293,435.0538,NO
